Date,Region,Cases
2021-01-17,Toronto,3
2021-01-17,Central,6
2021-01-17,Eastern,0
2021-01-17,Western,0
2021-01-17,Northern,0
2021-01-18,Toronto,1
2021-01-18,Central,6
2021-01-18,Eastern,0
2021-01-18,Western,0
2021-01-18,Northern,0
2021-01-19,Toronto,1
2021-01-19,Central,10
2021-01-19,Eastern,0
2021-01-19,Western,0
2021-01-19,Northern,0
2021-01-20,Toronto,1
2021-01-20,Central,12
2021-01-20,Eastern,0
2021-01-20,Western,0
2021-01-20,Northern,0
2021-01-21,Toronto,1
2021-01-21,Central,70
2021-01-21,Eastern,0
2021-01-21,Western,0
2021-01-21,Northern,0
2021-01-24,Toronto,2
2021-01-24,Central,92
2021-01-24,Eastern,0
2021-01-24,Western,0
2021-01-24,Northern,0
2021-01-25,Toronto,7
2021-01-25,Central,97
2021-01-25,Eastern,0
2021-01-25,Western,0
2021-01-25,Northern,0
2021-01-26,Toronto,7
2021-01-26,Central,96
2021-01-26,Eastern,0
2021-01-26,Western,0
2021-01-26,Northern,0
2021-01-27,Toronto,28
2021-01-27,Central,99
2021-01-27,Eastern,0
2021-01-27,Western,0
2021-01-27,Northern,0
2021-01-28,Toronto,28
2021-01-28,Central,101
2021-01-28,Eastern,0
2021-01-28,Western,0
2021-01-28,Northern,0
2021-01-31,Toronto,31
2021-01-31,Central,123
2021-01-31,Eastern,0
2021-01-31,Western,0
2021-01-31,Northern,0
2021-02-01,Toronto,31
2021-02-01,Central,132
2021-02-01,Eastern,0
2021-02-01,Western,0
2021-02-01,Northern,0
2021-02-02,Toronto,32
2021-02-02,Central,137
2021-02-02,Eastern,0
2021-02-02,Western,0
2021-02-02,Northern,0
2021-02-03,Toronto,33
2021-02-03,Central,55
2021-02-03,Eastern,0
2021-02-03,Western,0
2021-02-03,Northern,0
2021-02-04,Toronto,31
2021-02-04,Central,128
2021-02-04,Eastern,0
2021-02-04,Western,0
2021-02-04,Northern,0
2021-02-07,Toronto,3
